Date,Time,Product,Price
11/07/2022,23:00,kindle,149.99
11/07/2022,23:01,kindle,149.99
11/07/2022,23:02,kindle,149.99
11/07/2022,23:03,kindle,149.99
11/07/2022,23:04,kindle,149.99
11/07/2022,23:06,kindle,149.99
11/07/2022,23:07,kindle,149.99
11/07/2022,23:08,kindle,149.99
11/07/2022,23:09,kindle,149.99
11/07/2022,23:10,kindle,149.99
11/07/2022,23:11,kindle,149.99
11/07/2022,23:13,kindle,149.99
11/07/2022,23:14,kindle,149.99
11/07/2022,23:15,kindle,149.99
11/07/2022,23:16,kindle,149.99
11/07/2022,23:17,kindle,149.99
11/07/2022,23:18,kindle,149.99
11/07/2022,23:20,kindle,149.99
11/07/2022,23:21,kindle,149.99
11/07/2022,23:22,kindle,149.99
11/07/2022,23:23,kindle,149.99
11/07/2022,23:24,kindle,149.99
11/07/2022,23:26,kindle,149.99
11/07/2022,23:27,kindle,149.99
11/07/2022,23:28,kindle,149.99
11/07/2022,23:29,kindle,149.99
